recommendation_id,workflow_run_id,request_id,recommendation_status,headline,detail,selected_suppliers,estimated_total_cost,generated_at
REC-0351-01,RUN-0351-01,REQ-0351,generated,"Allocate 55,000 units across 4 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,4.0,494114.1,2026-03-11 17:14:00
REC-0352-01,RUN-0352-01,REQ-0352,generated,"Allocate 135,000 units across 6 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,6.0,1238867.03,2026-03-31 16:50:00
REC-0353-01,RUN-0353-01,REQ-0353,generated,"Allocate 90,000 units across 5 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,5.0,907872.44,2026-03-30 02:55:00
REC-0354-01,RUN-0354-01,REQ-0354,generated,"Allocate 40,000 units across 5 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,5.0,559937.48,2026-01-29 15:05:00
REC-0355-01,RUN-0355-01,REQ-0355,generated,"Allocate 110,000 units across 4 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,4.0,1414110.36,2026-03-23 00:51:00
REC-0356-01,RUN-0356-01,REQ-0356,generated,"Allocate 120,000 units across 6 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,6.0,1043931.95,2026-02-18 20:16:00
REC-0357-01,RUN-0357-01,REQ-0357,generated,"Allocate 110,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,1509660.01,2026-03-21 08:26:00
REC-0358-01,RUN-0358-01,REQ-0358,generated,"Allocate 90,000 units across 5 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,5.0,907560.57,2026-01-05 16:18:00
REC-0359-01,RUN-0359-01,REQ-0359,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-02 10:05:00
REC-0360-01,RUN-0360-01,REQ-0360,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-16 19:10:00
REC-0361-01,RUN-0361-01,REQ-0361,generated,"Allocate 90,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,994506.84,2026-03-18 21:05:00
REC-0362-01,RUN-0362-01,REQ-0362,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-17 04:49:00
REC-0363-01,RUN-0363-01,REQ-0363,generated,"Allocate 135,000 units across 5 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,5.0,1916468.18,2026-04-04 08:55:00
REC-0364-01,RUN-0364-01,REQ-0364,generated,"Allocate 55,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,708856.07,2026-03-29 19:46:00
REC-0365-01,RUN-0365-01,REQ-0365,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-14 07:48:00
REC-0366-01,RUN-0366-01,REQ-0366,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-04-11 09:24:00
REC-0367-01,RUN-0367-01,REQ-0367,generated,"Allocate 120,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,1723810.41,2026-01-15 13:04:00
REC-0368-01,RUN-0368-01,REQ-0368,generated,"Allocate 90,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,798823.03,2026-03-02 11:00:00
REC-0369-01,RUN-0369-01,REQ-0369,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-04-04 15:26:00
REC-0370-01,RUN-0370-01,REQ-0370,generated,"Allocate 110,000 units across 4 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,4.0,1024014.79,2026-02-21 18:09:00
REC-0371-01,RUN-0371-01,REQ-0371,generated,"Allocate 110,000 units across 4 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,4.0,1319338.63,2026-02-17 13:27:00
REC-0372-01,RUN-0372-01,REQ-0372,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-16 04:34:00
REC-0373-01,RUN-0373-01,REQ-0373,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-04-02 09:11:00
REC-0374-01,RUN-0374-01,REQ-0374,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-28 21:25:00
REC-0375-01,RUN-0375-01,REQ-0375,generated,"Allocate 70,000 units across 4 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,4.0,818608.82,2026-02-23 22:34:00
REC-0376-01,RUN-0376-01,REQ-0376,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-08 02:34:00
REC-0377-01,RUN-0377-01,REQ-0377,generated,"Allocate 40,000 units across 4 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,4.0,477492.38,2026-02-14 12:08:00
REC-0378-01,RUN-0378-01,REQ-0378,generated,"Allocate 110,000 units across 3 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,3.0,1668485.13,2026-01-27 17:36:00
REC-0379-01,RUN-0379-01,REQ-0379,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-09 08:33:00
REC-0380-01,RUN-0380-01,REQ-0380,generated,"Allocate 40,000 units across 4 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,4.0,372906.97,2026-03-17 10:58:00
REC-0381-01,RUN-0381-01,REQ-0381,generated,"Allocate 90,000 units across 4 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,4.0,909340.42,2026-04-05 02:19:00
REC-0382-01,RUN-0382-01,REQ-0382,generated,"Allocate 70,000 units across 5 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,5.0,724378.95,2026-01-12 10:48:00
REC-0383-01,RUN-0383-01,REQ-0383,generated,"Allocate 70,000 units across 6 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,6.0,601752.24,2026-03-17 16:32:00
REC-0384-01,RUN-0384-01,REQ-0384,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-20 17:13:00
REC-0385-01,RUN-0385-01,REQ-0385,generated,"Allocate 40,000 units across 4 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,4.0,532013.45,2026-03-02 06:34:00
REC-0386-01,RUN-0386-01,REQ-0386,generated,"Allocate 70,000 units across 4 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,4.0,985802.35,2026-01-12 18:20:00
REC-0387-01,RUN-0387-01,REQ-0387,generated,"Allocate 120,000 units across 6 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,6.0,1280109.32,2026-02-09 23:16:00
REC-0388-01,RUN-0388-01,REQ-0388,generated,"Allocate 40,000 units across 6 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,6.0,411634.73,2026-04-13 23:19:00
REC-0389-01,RUN-0389-01,REQ-0389,generated,"Allocate 135,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,1356515.17,2026-02-13 03:20:00
REC-0390-01,RUN-0390-01,REQ-0390,generated,"Allocate 55,000 units across 6 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,6.0,798456.9,2026-01-14 07:36:00
REC-0391-01,RUN-0391-01,REQ-0391,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-06 00:15:00
REC-0392-01,RUN-0392-01,REQ-0392,generated,"Allocate 110,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,944641.72,2026-03-19 20:54:00
REC-0393-01,RUN-0393-01,REQ-0393,generated,"Allocate 135,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,1504355.78,2026-02-25 15:09:00
REC-0394-01,RUN-0394-01,REQ-0394,generated,"Allocate 90,000 units across 4 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,4.0,867094.17,2026-03-15 10:50:00
REC-0395-01,RUN-0395-01,REQ-0395,generated,"Allocate 70,000 units across 4 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,4.0,653871.64,2026-04-02 21:13:00
REC-0396-01,RUN-0396-01,REQ-0396,generated,"Allocate 70,000 units across 4 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,4.0,654251.9,2026-04-07 06:32:00
REC-0397-01,RUN-0397-01,REQ-0397,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-13 15:40:00
REC-0398-01,RUN-0398-01,REQ-0398,generated,"Allocate 120,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,1746777.81,2026-02-07 00:52:00
REC-0399-01,RUN-0399-01,REQ-0399,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-24 10:43:00
REC-0400-01,RUN-0400-01,REQ-0400,generated,"Allocate 70,000 units across 4 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,4.0,830573.07,2026-03-06 19:41:00
REC-0401-01,RUN-0401-01,REQ-0401,generated,"Allocate 90,000 units across 6 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,6.0,849207.88,2026-04-02 00:17:00
REC-0402-01,RUN-0402-01,REQ-0402,generated,"Allocate 55,000 units across 4 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,4.0,697998.25,2026-03-12 11:12:00
REC-0403-01,RUN-0403-01,REQ-0403,generated,"Allocate 70,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,1039092.07,2026-02-05 21:29:00
REC-0404-01,RUN-0404-01,REQ-0404,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-22 13:13:00
REC-0405-01,RUN-0405-01,REQ-0405,generated,"Allocate 90,000 units across 5 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,5.0,1170623.6,2026-03-25 00:56:00
REC-0406-01,RUN-0406-01,REQ-0406,generated,"Allocate 110,000 units across 4 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,4.0,1444938.24,2026-04-01 07:48:00
REC-0407-01,RUN-0407-01,REQ-0407,generated,"Allocate 70,000 units across 6 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,6.0,791434.47,2026-03-20 13:02:00
REC-0408-01,RUN-0408-01,REQ-0408,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-11 02:09:00
REC-0409-01,RUN-0409-01,REQ-0409,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-07 06:59:00
REC-0410-01,RUN-0410-01,REQ-0410,generated,"Allocate 70,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,1029847.71,2026-01-16 18:58:00
REC-0411-01,RUN-0411-01,REQ-0411,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-19 02:15:00
REC-0412-01,RUN-0412-01,REQ-0412,generated,"Allocate 70,000 units across 5 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,5.0,1079383.16,2026-02-16 00:27:00
REC-0413-01,RUN-0413-01,REQ-0413,generated,"Allocate 90,000 units across 4 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,4.0,892502.28,2026-04-12 12:25:00
REC-0414-01,RUN-0414-01,REQ-0414,generated,"Allocate 70,000 units across 5 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,5.0,695736.15,2026-02-27 03:25:00
REC-0415-01,RUN-0415-01,REQ-0415,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-23 05:22:00
REC-0416-01,RUN-0416-01,REQ-0416,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-10 10:46:00
REC-0417-01,RUN-0417-01,REQ-0417,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-04-13 07:49:00
REC-0418-01,RUN-0418-01,REQ-0418,generated,"Allocate 40,000 units across 5 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,5.0,501917.85,2026-03-14 10:21:00
REC-0419-01,RUN-0419-01,REQ-0419,generated,"Allocate 55,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,510799.08,2026-02-27 14:45:00
REC-0420-01,RUN-0420-01,REQ-0420,generated,"Allocate 110,000 units across 5 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,5.0,1690714.14,2026-02-23 00:14:00
REC-0421-01,RUN-0421-01,REQ-0421,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-11 08:23:00
REC-0422-01,RUN-0422-01,REQ-0422,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-28 17:48:00
REC-0423-01,RUN-0423-01,REQ-0423,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-04-03 17:12:00
REC-0424-01,RUN-0424-01,REQ-0424,generated,"Allocate 70,000 units across 5 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,5.0,643058.22,2026-02-11 05:07:00
REC-0425-01,RUN-0425-01,REQ-0425,generated,"Allocate 110,000 units across 4 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,4.0,1026130.82,2026-03-19 01:45:00
REC-0426-01,RUN-0426-01,REQ-0426,generated,"Allocate 90,000 units across 4 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,4.0,1059640.0,2026-02-27 03:09:00
REC-0427-01,RUN-0427-01,REQ-0427,generated,"Allocate 90,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,1063519.02,2026-02-04 19:06:00
REC-0428-01,RUN-0428-01,REQ-0428,generated,"Allocate 150,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,1597276.21,2026-03-15 08:16:00
REC-0429-01,RUN-0429-01,REQ-0429,generated,"Allocate 70,000 units across 4 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,4.0,981749.45,2026-04-05 15:54:00
REC-0430-01,RUN-0430-01,REQ-0430,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-02 11:57:00
REC-0431-01,RUN-0431-01,REQ-0431,generated,"Allocate 40,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,363285.77,2026-01-28 01:58:00
REC-0432-01,RUN-0432-01,REQ-0432,generated,"Allocate 110,000 units across 5 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,5.0,1381125.84,2026-01-28 00:58:00
REC-0433-01,RUN-0433-01,REQ-0433,generated,"Allocate 90,000 units across 5 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,5.0,1125811.17,2026-02-04 13:00:00
REC-0434-01,RUN-0434-01,REQ-0434,generated,"Allocate 55,000 units across 4 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,4.0,495701.83,2026-02-08 18:07:00
REC-0435-01,RUN-0435-01,REQ-0435,generated,"Allocate 70,000 units across 6 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,6.0,876166.06,2026-01-08 17:51:00
REC-0436-01,RUN-0436-01,REQ-0436,generated,"Allocate 40,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,398400.66,2026-04-11 18:06:00
REC-0437-01,RUN-0437-01,REQ-0437,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-04 11:47:00
REC-0438-01,RUN-0438-01,REQ-0438,generated,"Allocate 55,000 units across 4 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,4.0,817692.13,2026-02-01 02:28:00
REC-0439-01,RUN-0439-01,REQ-0439,generated,"Allocate 40,000 units across 5 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,5.0,501336.16,2026-04-04 14:14:00
REC-0440-01,RUN-0440-01,REQ-0440,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-01 17:24:00
REC-0441-01,RUN-0441-01,REQ-0441,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-26 03:22:00
REC-0442-01,RUN-0442-01,REQ-0442,generated,"Allocate 110,000 units across 6 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,6.0,1242806.8,2026-01-07 11:24:00
REC-0443-01,RUN-0443-01,REQ-0443,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-25 02:23:00
REC-0444-01,RUN-0444-01,REQ-0444,generated,"Allocate 120,000 units across 6 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,6.0,1420042.39,2026-02-27 01:58:00
REC-0445-01,RUN-0445-01,REQ-0445,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-28 03:10:00
REC-0446-01,RUN-0446-01,REQ-0446,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-08 11:21:00
REC-0447-01,RUN-0447-01,REQ-0447,generated,"Allocate 170,000 units across 4 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,4.0,1874447.25,2026-03-13 18:34:00
REC-0448-01,RUN-0448-01,REQ-0448,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-20 14:09:00
REC-0449-01,RUN-0449-01,REQ-0449,generated,"Allocate 55,000 units across 6 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,6.0,495182.5,2026-04-06 12:07:00
REC-0450-01,RUN-0450-01,REQ-0450,generated,"Allocate 110,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,1308855.23,2026-03-16 14:14:00
REC-0451-01,RUN-0451-01,REQ-0451,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-04-06 10:51:00
REC-0452-01,RUN-0452-01,REQ-0452,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-17 03:36:00
REC-0453-01,RUN-0453-01,REQ-0453,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-04 17:39:00
REC-0454-01,RUN-0454-01,REQ-0454,generated,"Allocate 70,000 units across 3 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,3.0,881563.87,2026-02-03 08:25:00
REC-0455-01,RUN-0455-01,REQ-0455,generated,"Allocate 70,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,1065367.22,2026-01-11 13:28:00
REC-0456-01,RUN-0456-01,REQ-0456,generated,"Allocate 70,000 units across 5 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,5.0,682786.54,2026-01-24 14:49:00
REC-0457-01,RUN-0457-01,REQ-0457,generated,"Allocate 40,000 units across 4 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,4.0,393756.81,2026-01-21 11:36:00
REC-0458-01,RUN-0458-01,REQ-0458,generated,"Allocate 70,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,927992.66,2026-01-09 23:38:00
REC-0459-01,RUN-0459-01,REQ-0459,generated,"Allocate 70,000 units across 6 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,6.0,651340.93,2026-02-12 21:07:00
REC-0460-01,RUN-0460-01,REQ-0460,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-19 06:34:00
REC-0461-01,RUN-0461-01,REQ-0461,generated,"Allocate 110,000 units across 3 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,3.0,1007362.18,2026-01-23 12:23:00
REC-0462-01,RUN-0462-01,REQ-0462,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-02 09:49:00
REC-0463-01,RUN-0463-01,REQ-0463,generated,"Allocate 55,000 units across 4 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,4.0,702268.98,2026-04-10 04:55:00
REC-0464-01,RUN-0464-01,REQ-0464,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-11 05:08:00
REC-0465-01,RUN-0465-01,REQ-0465,generated,"Allocate 70,000 units across 5 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,5.0,852588.01,2026-02-11 11:51:00
REC-0466-01,RUN-0466-01,REQ-0466,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-11 16:32:00
REC-0467-01,RUN-0467-01,REQ-0467,generated,"Allocate 70,000 units across 5 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,5.0,733698.84,2026-01-30 06:34:00
REC-0468-01,RUN-0468-01,REQ-0468,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-01 22:23:00
REC-0469-01,RUN-0469-01,REQ-0469,generated,"Allocate 110,000 units across 4 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,4.0,1252777.58,2026-01-25 19:32:00
REC-0470-01,RUN-0470-01,REQ-0470,generated,"Allocate 135,000 units across 6 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,6.0,1731958.49,2026-03-18 15:13:00
REC-0471-01,RUN-0471-01,REQ-0471,generated,"Allocate 120,000 units across 5 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,5.0,1853971.21,2026-04-14 00:15:00
REC-0472-01,RUN-0472-01,REQ-0472,generated,"Allocate 120,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,1093105.96,2026-01-09 16:34:00
REC-0473-01,RUN-0473-01,REQ-0473,generated,"Allocate 90,000 units across 6 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,6.0,826266.75,2026-02-18 17:16:00
REC-0474-01,RUN-0474-01,REQ-0474,generated,"Allocate 40,000 units across 5 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,5.0,571145.19,2026-03-21 14:36:00
REC-0475-01,RUN-0475-01,REQ-0475,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-03 22:03:00
REC-0476-01,RUN-0476-01,REQ-0476,generated,"Allocate 55,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,587568.48,2026-03-28 11:45:00
REC-0477-01,RUN-0477-01,REQ-0477,generated,"Allocate 55,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,599411.41,2026-03-21 11:11:00
REC-0478-01,RUN-0478-01,REQ-0478,generated,"Allocate 90,000 units across 4 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,4.0,1099098.81,2026-03-22 05:27:00
REC-0479-01,RUN-0479-01,REQ-0479,generated,"Allocate 55,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,642362.91,2026-03-31 20:51:00
REC-0480-01,RUN-0480-01,REQ-0480,generated,"Allocate 110,000 units across 6 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,6.0,1290578.25,2026-02-06 17:46:00
REC-0481-01,RUN-0481-01,REQ-0481,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-04-05 21:33:00
REC-0482-01,RUN-0482-01,REQ-0482,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-02-22 05:19:00
REC-0483-01,RUN-0483-01,REQ-0483,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-19 23:26:00
REC-0484-01,RUN-0484-01,REQ-0484,generated,"Allocate 110,000 units across 6 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,6.0,1283109.76,2026-03-11 07:28:00
REC-0485-01,RUN-0485-01,REQ-0485,generated,"Allocate 70,000 units across 6 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,6.0,652904.02,2026-02-05 11:39:00
REC-0486-01,RUN-0486-01,REQ-0486,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-01-27 09:59:00
REC-0487-01,RUN-0487-01,REQ-0487,generated,"Allocate 55,000 units across 4 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,4.0,643856.65,2026-02-22 22:52:00
REC-0488-01,RUN-0488-01,REQ-0488,generated,"Allocate 55,000 units across 5 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,5.0,553632.58,2026-02-09 13:54:00
REC-0489-01,RUN-0489-01,REQ-0489,generated,"Allocate 170,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,1877961.77,2026-01-13 09:43:00
REC-0490-01,RUN-0490-01,REQ-0490,generated,"Allocate 70,000 units across 6 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,6.0,1075648.74,2026-02-07 10:47:00
REC-0491-01,RUN-0491-01,REQ-0491,generated,"Allocate 150,000 units across 5 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,5.0,1926472.38,2026-02-20 11:58:00
REC-0492-01,RUN-0492-01,REQ-0492,generated,"Allocate 90,000 units across 3 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,3.0,1183681.02,2026-01-21 08:40:00
REC-0493-01,RUN-0493-01,REQ-0493,generated,"Allocate 110,000 units across 5 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,5.0,1213672.16,2026-03-29 04:07:00
REC-0494-01,RUN-0494-01,REQ-0494,generated,"Allocate 55,000 units across 6 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,6.0,705454.06,2026-03-16 23:49:00
REC-0495-01,RUN-0495-01,REQ-0495,generated,"Allocate 90,000 units across 6 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,6.0,1059150.21,2026-02-27 13:24:00
REC-0496-01,RUN-0496-01,REQ-0496,generated,"Allocate 170,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,2255735.72,2026-04-09 18:18:00
REC-0497-01,RUN-0497-01,REQ-0497,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-25 02:47:00
REC-0498-01,RUN-0498-01,REQ-0498,generated,"Allocate 135,000 units across 3 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,3.0,1935192.3,2026-04-03 10:12:00
REC-0499-01,RUN-0499-01,REQ-0499,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-04-10 02:38:00
REC-0500-01,RUN-0500-01,REQ-0500,not_generated,Recommendation not produced.,Workflow stopped before execution due to approval or validation state.,,,2026-03-31 10:50:00
REC-0501-01,RUN-0501-01,REQ-0501,generated,"Allocate 110,000 units across 6 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,6.0,1093313.49,2026-02-09 12:21:00
REC-0502-01,RUN-0502-01,REQ-0502,generated,"Allocate 90,000 units across 6 suppliers.",Recommended allocation prioritizes lower-risk supply while preserving coverage.,6.0,767899.48,2026-01-08 11:37:00
REC-0503-01,RUN-0503-01,REQ-0503,generated,"Allocate 135,000 units across 6 suppliers.",Portfolio is diversified but slightly more expensive due to tighter ESG requirements.,6.0,1627537.73,2026-03-19 02:16:00
REC-0504-01,RUN-0504-01,REQ-0504,generated,"Allocate 110,000 units across 6 suppliers.",Cost remains the main driver with acceptable ESG and risk balance.,6.0,1515830.04,2026-01-31 21:41:00
